"Chapter ID (Mandatory, for example 1, 2, Etc)",Chapter Title (Mandatory),Chapter Description (Optional),"Question ID (Mandatory and Unique, for example: 1.1, 1.2, Etc)",Question Title (Mandatory),Question Description (Optional),"Answer Type (Mandatory, one of the following options: 1 for Open Answer, 2 for Dropdown - Single Select, 3 for Dropdown - Single Select - Open answer, 4 for Date, 5 for Dropdown - Multiple Select, 6 for Dropdown - Multiple Select - Open answer)","Dropdown Options (Mandatory if column G is Dropdown. List options for the dropdown separated by a pipe character, for example: Yes|No|Undefined)","DropDown Warnings (Optional, for every option on column H you can define a message, for example: Great|Oh|Think twice)","Dropdown Scoring (Mandatory, set this to 1 if you want to enable scoring for this question. Otherwise set to 0)","Dropdown Option Score (Mandatory if J is set to 1, set the score of the question as an integer positive number, for example 10)","Dropdown Option Score Multiplier (Mandatory if J is set to 1. For every option of the dropdown in column H define an integer positive number that will be multiplied by the value on column K, for example: 1|2|10)","Dropdown Option Show another Question (Optional and only possible if column G is dropdown.For every option in column H you can define one or more question IDs from column D to be shown when the option is selected. For example: 1.2 1.6||6.7 would display questions 1.2 and 1.6 if the first option is selected, none if the second is selected and 6.7 if the third option is selected)","Question Comments & Attachments (Mandatory, select 0 if you do not want to show this option or 1 if you want to let users provide comments and attachments for each question)"
3,Network Device Authentication,,3.5,Control - What evidence can you share with auditors to prove administrative access is reviewed?,"Auditors typically like to see AAA configuration, access control groups, MFA settings, admin account lists, and privileged access reviews.",1,,,0,,,,0
4,Standard Configurations and Hardening,,4.1,Do you maintain standard configuration baselines for network devices?,"Baselines should define approved services, management protocols, password settings, encryption, logging, SNMP settings, and unnecessary service restrictions.",2,Yes|No|Inconsistent,,0,,,4.2 4.3 4.4||4.2 4.3 4.4,0
4,Standard Configurations and Hardening,,4.2,Which network device types have approved configuration baselines? Select one or more than one.,Select all device families for which a documented secure configuration exists.,5,Firewalls|Routers|Switches|Wireless access points|VPN gateways|Load balancers|Cloud network services|Other,,0,,,,0
4,Standard Configurations and Hardening,,4.3,Are network device configurations reviewed against the approved baseline?,"This can be performed manually, through configuration management, vulnerability scanning, or compliance monitoring tools.",2,Yes|No|Inconsistent,,0,,,,0
4,Standard Configurations and Hardening,,4.4,Control - What evidence can you share with auditors to prove secure configurations are defined and checked?,"Typical evidence includes hardening standards, configuration templates, compliance reports, screenshots, or configuration review tickets.",1,,,0,,,,0
5,Change Management,,5.1,Are changes to network devices managed through a formal change management process?,"This should include firewall rules, routing changes, VLANs, VPN settings, wireless changes, and management access changes.",2,Yes|No|Inconsistent,,0,,,5.2||5.2,0
5,Change Management,,5.2,Control - What evidence can you share with auditors to prove network changes are controlled?,"Approval should consider business need, security impact, rollback plan, and implementation timing.",1, ,,0,,,,0
6,Network Traffic Logging and Monitoring,,6.1,Is network traffic logged or monitored for security purposes?,"This should include firewall logs, VPN logs, wireless logs, IDS/IPS events, DNS logs, proxy logs, or cloud network flow logs where applicable.",2,Yes|No|Inconsistent,,0,,,6.2 6.3 6.4 6.5||6.2 6.3 6.4 6.5,0
6,Network Traffic Logging and Monitoring,,6.2,Which types of network traffic or events are logged? Select one or more than one.,Select the logs collected and available for security monitoring or investigation.,5,Firewall allow/deny traffic|VPN connections|Wireless authentication|DNS queries|Proxy traffic|IDS/IPS events|Cloud flow logs|Administrative access|Other,,0,,,,0
6,Network Traffic Logging and Monitoring,,6.3,Are network logs sent to a centralized logging or SIEM platform?,"Centralized logging helps detect suspicious traffic, investigate incidents, and preserve evidence.",2,Yes|No|Inconsistent,,0,,,,0
6,Network Traffic Logging and Monitoring,,6.4,How long are network security logs retained?,"Include hot retention, archived retention, and whether logs are protected from unauthorized modification or deletion.",1,,,0,,,,0
6,Network Traffic Logging and Monitoring,,6.5,Control - What evidence can you share with auditors to prove network logs are collected and reviewed?,"Typical evidence includes SIEM dashboards, sample log searches, alert rules, retention settings, and incident tickets linked to network events.",1,,,0,,,,0
7,Network Device Patching and Vulnerability Management,,7.1,Are network devices patched or upgraded under a defined process?,"The process should cover firmware, operating systems, security updates, controller updates, and emergency fixes.",2,Yes|No|Inconsistent,,0,,,7.2 7.3||7.2 7.3,0
7,Network Device Patching and Vulnerability Management,,7.2,Are patching timelines defined based on severity?,"The SLA should define how quickly critical, high, medium, and low severity issues are assessed and remediated.",2,Yes|No|Inconsistent,,0,,,,0
7,Network Device Patching and Vulnerability Management,,7.3,Control - What evidence can you share with auditors to prove network device patching is managed?,This should include authenticated scans where possible and manual validation for devices that cannot be scanned safely.,1, ,,0,,,,0
8,End-of-Life Device Management,,8.1,Do you track end-of-life and end-of-support dates for network devices?,"This should include hardware support, firmware support, software support, and vendor security advisory coverage.",2,Yes|No|Inconsistent,,0,,,8.2 8.3 8.4||8.2 8.3 8.4,0
8,End-of-Life Device Management,,8.2,"Are end-of-life network devices replaced, upgraded, or risk accepted before support expires?",Unsupported devices should not remain in production without documented risk acceptance and compensating controls.,2,Yes|No|Inconsistent,,0,,,,0
8,End-of-Life Device Management,,8.3,Are exceptions for unsupported network devices formally approved and time limited?,"Include the business reason, security risk, compensating controls, target remediation date, and owner.",2,Yes|No|Inconsistent|Not Applicable,,0,,,,0
8,End-of-Life Device Management,,8.4,Control - What evidence can you share with auditors to prove end-of-life devices are managed?,"Typical evidence includes lifecycle registers, vendor notices, replacement plans, risk acceptances, and decommissioning tickets.",1,,,0,,,,0
9,Wi-Fi Networks,,9.1,Are Wi-Fi networks secured using strong authentication and encryption?,"Examples include WPA2-Enterprise, WPA3-Enterprise, certificate-based access, RADIUS, or equivalent controls.",2,Yes|No|Inconsistent|Not Applicable,,0,,,9.2 9.3||9.2 9.3|,0
9,Wi-Fi Networks,,9.2,Are guest Wi-Fi networks separated from corporate networks?,Guest Wi-Fi should not provide direct access to internal systems unless specifically approved and controlled.,2,Yes|No|Inconsistent|Not Applicable,,0,,,,0
9,Wi-Fi Networks,,9.3,Control - What evidence can you share with auditors to prove Wi-Fi networks are secured?,"Typical evidence includes wireless controller settings, SSID configuration, authentication settings, segmentation rules, and guest network isolation evidence.",1,,,0,,,,0
10,Cabling and Network Data Room Security,,10.1,"Are network data rooms, closets, and cabinets physically secured/enclosed?","This includes offices, server rooms, wiring closets, shared buildings, and locations where network equipment is installed.",2,Yes|No|Inconsistent,,0,,,10.2 10.3 10.4||10.2 10.3 10.4,0
10,Cabling and Network Data Room Security,,10.2,Is access to network data rooms restricted to authorized personnel?,"Access should be controlled through keys, badges, locks, visitor controls, or other physical access controls.",2,Yes|No|Inconsistent,,0,,,,0
10,Cabling and Network Data Room Security,,10.3,Is network cabling protected from unauthorized access or tampering?,"This should include patch panels, exposed cables, network ports in public areas, and unused wall ports.",2,Yes|No|Inconsistent,,0,,,,0
10,Cabling and Network Data Room Security,,10.4,Control - What evidence can you share with auditors to prove cabling and data room security is controlled from non-authorized personel?,"Auditors typically like to see access lists, photos, badge access logs, visitor logs, cabinet lock records, and port control procedures.",1,,,0,,,,0
11,Inbound Traffic,"This chapter reviews how inbound network traffic is restricted, approved, segmented, monitored, and evidenced regardless of whether the target is an office, datacenter, cloud, or hosted environment.",11.1,Do you restrict inbound network traffic by default?,"Inbound traffic should be blocked unless there is a documented business need, approved rule, defined owner, and controlled source and destination.",2,Yes|No|Not Applicable,,0,,,11.2 11.3 11.4 11.5||11.2 11.3 11.4 11.5,0
11,Inbound Traffic,"This chapter reviews how inbound network traffic is restricted, approved, segmented, monitored, and evidenced regardless of whether the target is an office, datacenter, cloud, or hosted environment.",11.2,Which inbound traffic types are allowed? Select one or more than one.,"Include traffic entering from the Internet, third parties, remote users, cloud services, offices, datacenters, hosted services, or other networks.",5,Internet to internal systems|Third-party or partner connections|Remote access or VPN traffic|Cloud service connections|Inter-site traffic|Management traffic|Monitoring or backup traffic|Other,,0,,,,0
11,Inbound Traffic,"This chapter reviews how inbound network traffic is restricted, approved, segmented, monitored, and evidenced regardless of whether the target is an office, datacenter, cloud, or hosted environment.",11.3,Which controls are used for inbound traffic? Select one or more than one.,"Select the controls used to restrict, inspect, segment, or monitor inbound traffic before it reaches internal or production networks.",5,Default deny firewall rules|Approved source allow-listing|Port and protocol restrictions|DMZ or segmented zones|WAF or reverse proxy|VPN or private connectivity|IDS/IPS inspection|Temporary rules with expiry dates|Periodic rule reviews|Other,,0,,,,0
11,Inbound Traffic,"This chapter reviews how inbound network traffic is restricted, approved, segmented, monitored, and evidenced regardless of whether the target is an office, datacenter, cloud, or hosted environment.",11.4,Are inbound traffic rules reviewed periodically?,"The review should confirm business need, owner, source, destination, port, protocol, expiry date, change reference, and whether the rule is still required.",2,Yes|No|Undefined|Not Applicable,,0,,,,0
11,Inbound Traffic,"This chapter reviews how inbound network traffic is restricted, approved, segmented, monitored, and evidenced regardless of whether the target is an office, datacenter, cloud, or hosted environment.",11.5,Are temporary inbound access rules given an expiry date and removed after use?,"This includes vendor access, incident response access, migration access, testing access, and temporary troubleshooting access.",2,Yes|No|Undefined|Not Applicable,,0,,,,0
11,Inbound Traffic,"This chapter reviews how inbound network traffic is restricted, approved, segmented, monitored, and evidenced regardless of whether the target is an office, datacenter, cloud, or hosted environment.",11.6,Control - What evidence can you share with auditors to prove inbound traffic is controlled?,"Typical evidence includes firewall rule exports, approvals, change tickets, rule review records, network diagrams, DMZ diagrams, WAF configuration, VPN configuration, SIEM alerts, and exception records.",1,,,0,,,,0
12,Outgoing Traffic,"This chapter reviews how outbound network traffic is restricted, approved, monitored, and evidenced regardless of whether it originates from users, servers, infrastructure, cloud, or hosted environments.",12.1,Do you control outgoing network traffic?,"Controls should define which users, systems, servers, infrastructure components, guest networks, cloud workloads, and third-party connections can initiate outbound traffic.",2,Yes|No|Not Applicable,,0,,,12.2 12.3 12.4 12.5||12.2 12.3 12.4 12.5,0
12,Outgoing Traffic,"This chapter reviews how outbound network traffic is restricted, approved, monitored, and evidenced regardless of whether it originates from users, servers, infrastructure, cloud, or hosted environments.",12.2,Which outgoing traffic controls are used? Select one or more than one.,"Select the controls used to restrict, inspect, or monitor traffic leaving the network or hosted environment.",5,Default deny egress rules|Web proxy or secure web gateway|DNS filtering|Firewall egress allow-listing|NAT gateway controls|Data loss prevention|IDS/IPS inspection|Cloud security gateway|SIEM alerting|Periodic rule reviews|Other,,0,,,,0
12,Outgoing Traffic,"This chapter reviews how outbound network traffic is restricted, approved, monitored, and evidenced regardless of whether it originates from users, servers, infrastructure, cloud, or hosted environments.",12.3,Are systems restricted from direct Internet access unless explicitly approved?,"Servers, infrastructure devices, administrative networks, and sensitive zones should use controlled paths such as proxies, NAT gateways, approved repositories, update services, or approved external integrations.",2,Yes|No|Inconsistent|Not Applicable,,0,,,,0
12,Outgoing Traffic,"This chapter reviews how outbound network traffic is restricted, approved, monitored, and evidenced regardless of whether it originates from users, servers, infrastructure, cloud, or hosted environments.",12.4,Are outgoing traffic rules reviewed periodically?,"The review should confirm owner, business purpose, destination, protocol, port, expiry date, change reference, and continued need.",2,Yes|No|Inconsistent|Not Applicable,,0,,,,0
12,Outgoing Traffic,"This chapter reviews how outbound network traffic is restricted, approved, monitored, and evidenced regardless of whether it originates from users, servers, infrastructure, cloud, or hosted environments.",12.5,Are outgoing traffic logs reviewed or alerted for suspicious activity?,"Examples include malware callbacks, unusual destinations, unauthorized tunnels, blocked categories, excessive data transfers, traffic from sensitive zones, and connections to prohibited locations.",2,Yes|No|Inconsistent|Not Applicable,,0,,,,0
12,Outgoing Traffic,"This chapter reviews how outbound network traffic is restricted, approved, monitored, and evidenced regardless of whether it originates from users, servers, infrastructure, cloud, or hosted environments.",12.6,Control - What evidence can you share with auditors to prove outgoing traffic is controlled?,"Typical evidence includes egress firewall rules, proxy policies, DNS filtering reports, NAT rules, web gateway logs, SIEM alerts, data loss prevention alerts, change tickets, and rule review records.",1,,,0,,,,0
13,Documentation,,13.1,"Upload any policy, procedure, standard, diagram, or evidence you have in regards to this topic.","This can include network security policies, architecture diagrams, configuration standards, firewall standards, logging procedures, Wi-Fi standards, physical security procedures, traffic flow diagrams, or firewall rule review records.",1,,,0,,,,0
